ID,experimental_phase,group,date,intake
422,Experimental,No-Uncertainty,2022-10-13,57
413,Experimental,Uncertainty,2022-10-14,39
414,Experimental,No-Uncertainty,2022-10-14,56
415,Experimental,No-Uncertainty,2022-10-14,57
416,Experimental,Uncertainty,2022-10-14,36
417,Experimental,Uncertainty,2022-10-14,63
418,Experimental,Uncertainty,2022-10-14,53
419,Experimental,Uncertainty,2022-10-14,66
420,Experimental,No-Uncertainty,2022-10-14,62
421,Experimental,No-Uncertainty,2022-10-14,58
422,Experimental,No-Uncertainty,2022-10-14,67
413,Experimental,Uncertainty,2022-10-15,48
414,Experimental,No-Uncertainty,2022-10-15,50
415,Experimental,No-Uncertainty,2022-10-15,60
416,Experimental,Uncertainty,2022-10-15,49
417,Experimental,Uncertainty,2022-10-15,59
418,Experimental,Uncertainty,2022-10-15,40
419,Experimental,Uncertainty,2022-10-15,47
420,Experimental,No-Uncertainty,2022-10-15,61
421,Experimental,No-Uncertainty,2022-10-15,62
422,Experimental,No-Uncertainty,2022-10-15,64
413,Experimental,Uncertainty,2022-10-16,60
414,Experimental,No-Uncertainty,2022-10-16,52
415,Experimental,No-Uncertainty,2022-10-16,55
416,Experimental,Uncertainty,2022-10-16,46
417,Experimental,Uncertainty,2022-10-16,36
418,Experimental,Uncertainty,2022-10-16,82
419,Experimental,Uncertainty,2022-10-16,60
420,Experimental,No-Uncertainty,2022-10-16,54
421,Experimental,No-Uncertainty,2022-10-16,64
422,Experimental,No-Uncertainty,2022-10-16,66
413,Experimental,Uncertainty,2022-10-17,38
414,Experimental,No-Uncertainty,2022-10-17,59
415,Experimental,No-Uncertainty,2022-10-17,55
416,Experimental,Uncertainty,2022-10-17,40
417,Experimental,Uncertainty,2022-10-17,30
418,Experimental,Uncertainty,2022-10-17,55
419,Experimental,Uncertainty,2022-10-17,50
420,Experimental,No-Uncertainty,2022-10-17,64
421,Experimental,No-Uncertainty,2022-10-17,59
422,Experimental,No-Uncertainty,2022-10-17,62
413,Experimental,Uncertainty,2022-10-18,57
414,Experimental,No-Uncertainty,2022-10-18,56
415,Experimental,No-Uncertainty,2022-10-18,62
416,Experimental,Uncertainty,2022-10-18,38
417,Experimental,Uncertainty,2022-10-18,57
418,Experimental,Uncertainty,2022-10-18,48
419,Experimental,Uncertainty,2022-10-18,51
420,Experimental,No-Uncertainty,2022-10-18,61
421,Experimental,No-Uncertainty,2022-10-18,65
422,Experimental,No-Uncertainty,2022-10-18,66
413,Experimental,Uncertainty,2022-10-19,53
414,Experimental,No-Uncertainty,2022-10-19,62
415,Experimental,No-Uncertainty,2022-10-19,64
416,Experimental,Uncertainty,2022-10-19,49
417,Experimental,Uncertainty,2022-10-19,51
418,Experimental,Uncertainty,2022-10-19,70
419,Experimental,Uncertainty,2022-10-19,54
420,Experimental,No-Uncertainty,2022-10-19,68
421,Experimental,No-Uncertainty,2022-10-19,71
422,Experimental,No-Uncertainty,2022-10-19,67
413,Experimental,Uncertainty,2022-10-20,45
414,Experimental,No-Uncertainty,2022-10-20,59
415,Experimental,No-Uncertainty,2022-10-20,70
416,Experimental,Uncertainty,2022-10-20,50
417,Experimental,Uncertainty,2022-10-20,69
418,Experimental,Uncertainty,2022-10-20,80
419,Experimental,Uncertainty,2022-10-20,49
420,Experimental,No-Uncertainty,2022-10-20,71
421,Experimental,No-Uncertainty,2022-10-20,58
422,Experimental,No-Uncertainty,2022-10-20,60
413,Experimental,Uncertainty,2022-10-21,67
414,Experimental,No-Uncertainty,2022-10-21,59
415,Experimental,No-Uncertainty,2022-10-21,64
416,Experimental,Uncertainty,2022-10-21,48
417,Experimental,Uncertainty,2022-10-21,54
418,Experimental,Uncertainty,2022-10-21,42
419,Experimental,Uncertainty,2022-10-21,39
420,Experimental,No-Uncertainty,2022-10-21,65
421,Experimental,No-Uncertainty,2022-10-21,65
422,Experimental,No-Uncertainty,2022-10-21,59
413,Experimental,Uncertainty,2022-10-22,47
414,Experimental,No-Uncertainty,2022-10-22,51
415,Experimental,No-Uncertainty,2022-10-22,68
416,Experimental,Uncertainty,2022-10-22,33
417,Experimental,Uncertainty,2022-10-22,54
418,Experimental,Uncertainty,2022-10-22,55
419,Experimental,Uncertainty,2022-10-22,44
420,Experimental,No-Uncertainty,2022-10-22,64
421,Experimental,No-Uncertainty,2022-10-22,69
422,Experimental,No-Uncertainty,2022-10-22,57
413,Experimental,Uncertainty,2022-10-23,54
414,Experimental,No-Uncertainty,2022-10-23,59
415,Experimental,No-Uncertainty,2022-10-23,67
416,Experimental,Uncertainty,2022-10-23,49
417,Experimental,Uncertainty,2022-10-23,54
418,Experimental,Uncertainty,2022-10-23,52
419,Experimental,Uncertainty,2022-10-23,58
420,Experimental,No-Uncertainty,2022-10-23,64
421,Experimental,No-Uncertainty,2022-10-23,34
422,Experimental,No-Uncertainty,2022-10-23,66
413,Experimental,Uncertainty,2022-10-24,57
414,Experimental,No-Uncertainty,2022-10-24,64
415,Experimental,No-Uncertainty,2022-10-24,54
416,Experimental,Uncertainty,2022-10-24,39
417,Experimental,Uncertainty,2022-10-24,69
418,Experimental,Uncertainty,2022-10-24,55
419,Experimental,Uncertainty,2022-10-24,60
420,Experimental,No-Uncertainty,2022-10-24,64
421,Experimental,No-Uncertainty,2022-10-24,60
422,Experimental,No-Uncertainty,2022-10-24,69
413,Experimental,Uncertainty,2022-10-25,50
414,Experimental,No-Uncertainty,2022-10-25,34
415,Experimental,No-Uncertainty,2022-10-25,53
416,Experimental,Uncertainty,2022-10-25,49
417,Experimental,Uncertainty,2022-10-25,54
418,Experimental,Uncertainty,2022-10-25,30
419,Experimental,Uncertainty,2022-10-25,54
420,Experimental,No-Uncertainty,2022-10-25,131
421,Experimental,No-Uncertainty,2022-10-25,71
422,Experimental,No-Uncertainty,2022-10-25,72
413,Experimental,Uncertainty,2022-10-26,57
414,Experimental,No-Uncertainty,2022-10-26,32
415,Experimental,No-Uncertainty,2022-10-26,49
416,Experimental,Uncertainty,2022-10-26,49
417,Experimental,Uncertainty,2022-10-26,52
418,Experimental,Uncertainty,2022-10-26,57
419,Experimental,Uncertainty,2022-10-26,52
420,Experimental,No-Uncertainty,2022-10-26,63
421,Experimental,No-Uncertainty,2022-10-26,73
422,Experimental,No-Uncertainty,2022-10-26,61
413,Experimental,Uncertainty,2022-10-27,58
414,Experimental,No-Uncertainty,2022-10-27,58
415,Experimental,No-Uncertainty,2022-10-27,65
416,Experimental,Uncertainty,2022-10-27,49
417,Experimental,Uncertainty,2022-10-27,61
418,Experimental,Uncertainty,2022-10-27,64
419,Experimental,Uncertainty,2022-10-27,51
420,Experimental,No-Uncertainty,2022-10-27,71
421,Experimental,No-Uncertainty,2022-10-27,83
422,Experimental,No-Uncertainty,2022-10-27,65
413,Experimental,Uncertainty,2022-10-28,58
414,Experimental,No-Uncertainty,2022-10-28,43
415,Experimental,No-Uncertainty,2022-10-28,63
416,Experimental,Uncertainty,2022-10-28,49
417,Experimental,Uncertainty,2022-10-28,54
418,Experimental,Uncertainty,2022-10-28,55
419,Experimental,Uncertainty,2022-10-28,40
420,Experimental,No-Uncertainty,2022-10-28,65
421,Experimental,No-Uncertainty,2022-10-28,81
