pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,499,14 33 00,15 34 00,2,agua,sacarosa_crv,1,5,26,2375,0,1,2,52,0,1
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,500,14 34 00,15 34 00,3,agua,sacarosa_crv,1,5,19,4316,0,1,3,67,0,1
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,501,14 34 00,15 34 00,4,agua,sacarosa_crv,1,5,85,4287,0,1,7,68,0,2
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,494,13 00 00,14 00 00,1,sacarosa_crv,agua,5,1,3465,197,1,0,56,12,2,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,495,13 00 00,14 00 00,2,sacarosa_crv,agua,5,1,5150,19,1,0,75,2,2,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,496,13 00 00,14 00 00,3,sacarosa_crv,agua,5,1,4558,13,1,0,72,2,2,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,497,13 00 00,14 00 00,4,sacarosa_crv,agua,5,1,2549,34,1,0,56,5,2,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,498,14 30 00,15 30 00,1,sacarosa_crv,agua,5,1,1698,54,1,0,36,3,1,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,499,14 30 00,15 30 00,2,sacarosa_crv,agua,5,1,2838,28,1,0,56,4,2,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,500,14 30 00,15 30 00,3,sacarosa_crv,agua,5,1,4956,13,1,0,75,1,2,0
unc_pool_4,9,2023 06 11,na_na_na_na,0_0_na,501,14 30 00,15 30 00,4,sacarosa_crv,agua,5,1,3930,15,1,0,69,1,2,0
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,494,13 00 00,14 00 00,1,agua,sacarosa_crv,1,5,197,2800,0,1,11,58,0,2
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,495,13 00 00,14 00 00,2,agua,sacarosa_crv,1,5,46,3772,0,1,5,63,0,2
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,496,13 00 00,14 00 00,3,agua,sacarosa_crv,1,5,27,4159,0,1,4,71,0,2
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,497,13 00 00,14 00 00,4,agua,sacarosa_crv,1,5,28,4333,0,1,3,66,0,2
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,498,14 30 00,15 30 00,1,agua,sacarosa_crv,1,5,24,1233,0,1,2,25,0,1
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,499,14 30 00,15 30 00,2,agua,sacarosa_crv,1,5,20,4058,0,1,3,67,0,2
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,500,14 30 00,15 30 00,3,agua,sacarosa_crv,1,5,20,3068,0,1,3,65,0,2
unc_pool_4,10,2023 06 12,na_na_na_na,0_0_na,501,14 30 00,15 30 00,4,agua,sacarosa_crv,1,5,96,2286,0,1,8,48,0,1
pool_2,1,2022 08 15,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,578,286,0,0,34,21,0.5,1.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,124,633,0,0,10,21,0,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,123,229,0,0,10,8,0,1
pool_2,1,2022 08 15,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,1219,425,0,0,47,21,1.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,397,12 37 00,13 37 00,1,sacarosa,sacarosa,1,1,362,227,0,0,25,22,1.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,398,12 37 00,13 37 00,2,sacarosa,sacarosa,1,1,563,200,0,0,24,15,0.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,399,12 41 00,13 42 00,3,sacarosa,sacarosa,1,1,215,274,0,0,15,13,0.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,400,12 41 00,13 42 00,4,sacarosa,sacarosa,1,1,140,275,0,0,16,17,0,0
pool_2,2,2022 08 16,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,355,444,0,0,33,33,1,1
pool_2,2,2022 08 16,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,742,390,0,0,36,23,1,0.5
pool_2,2,2022 08 16,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,1103,261,0,0,37,16,1.5,0
pool_2,2,2022 08 16,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,752,470,0,0,41,25,1,0.5
pool_2,2,2022 08 16,na_na_na_na,0_0_na,397,12 40 00,13 40 00,1,sacarosa,sacarosa,1,1,1162,665,0,0,53,40,1,1
pool_2,2,2022 08 16,na_na_na_na,0_0_na,398,12 40 00,13 40 00,2,sacarosa,sacarosa,1,1,278,501,0,0,21,28,1,1
pool_2,2,2022 08 16,na_na_na_na,0_0_na,399,12 40 00,13 40 00,3,sacarosa,sacarosa,1,1,395,293,0,0,24,19,0.5,1
pool_2,2,2022 08 16,na_na_na_na,0_0_na,400,12 40 00,13 40 00,4,sacarosa,sacarosa,1,1,187,301,0,0,16,23,1,1
pool_2,3,2022 08 17,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,240,349,0,0,21,37,0.5,1
pool_2,3,2022 08 17,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,527,402,0,0,35,21,0,0
pool_2,3,2022 08 17,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,457,175,0,0,30,17,0.5,0
pool_2,3,2022 08 17,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,1300,94,0,0,53,12,1,0.5
pool_2,3,2022 08 17,na_na_na_na,0_0_na,397,12 44 00,13 44 00,1,sacarosa,sacarosa,1,1,1045,447,0,0,54,30,1.5,1
pool_2,3,2022 08 17,na_na_na_na,0_0_na,398,12 44 00,13 44 00,2,sacarosa,sacarosa,1,1,412,660,0,0,31,29,2,0
pool_2,3,2022 08 17,na_na_na_na,0_0_na,399,12 44 00,13 44 00,3,sacarosa,sacarosa,1,1,280,200,0,0,25,21,0.5,1
pool_2,3,2022 08 17,na_na_na_na,0_0_na,400,12 44 00,13 44 00,4,sacarosa,sacarosa,1,1,246,242,0,0,25,18,1,0
pool_2,4,2022 08 18,na_na_na_na,0_0_na,393,11 11 00,12 11 00,1,sacarosa,sacarosa,1,1,212,236,0,0,22,33,0.5,1
pool_2,4,2022 08 18,na_na_na_na,0_0_na,394,11 11 00,12 11 00,2,sacarosa,sacarosa,1,1,409,1002,0,0,29,39,1,1
pool_2,4,2022 08 18,na_na_na_na,0_0_na,395,11 11 00,12 11 00,3,sacarosa,sacarosa,1,1,168,204,0,0,19,16,0.5,0.5
pool_2,4,2022 08 18,na_na_na_na,0_0_na,396,11 11 00,12 11 00,4,sacarosa,sacarosa,1,1,506,77,0,0,36,10,1,0.5
pool_2,4,2022 08 18,na_na_na_na,0_0_na,397,12 36 00,13 36 00,1,sacarosa,sacarosa,1,1,987,279,0,0,53,20,0.5,0.5
pool_2,4,2022 08 18,na_na_na_na,0_0_na,398,12 36 00,13 36 00,2,sacarosa,sacarosa,1,2,334,622,0,0,16,32,0,1
