experiment_id,date,animal,weight
high_uncertainty_fed,2022-05-11,320,24.12
high_uncertainty_fed,2022-05-11,321,23.94
high_uncertainty_fed,2022-05-11,322,26.3
high_uncertainty_fed,2022-05-11,323,23.48
high_uncertainty_fed,2022-05-11,324,18.91
high_uncertainty_fed,2022-05-11,325,24.55
high_uncertainty_fed,2022-05-11,326,25.15
high_uncertainty_fed,2022-05-11,327,24.57
high_uncertainty_fed,2022-05-13,320,24.06
high_uncertainty_fed,2022-05-13,321,24.1
high_uncertainty_fed,2022-05-13,322,26.03
high_uncertainty_fed,2022-05-13,323,23.51
high_uncertainty_fed,2022-05-13,324,18.94
high_uncertainty_fed,2022-05-13,325,23.82
high_uncertainty_fed,2022-05-13,326,25.5
high_uncertainty_fed,2022-05-13,327,24.3
high_uncertainty_fed,2022-05-16,320,24.06
high_uncertainty_fed,2022-05-16,321,24.1
high_uncertainty_fed,2022-05-16,322,26.03
high_uncertainty_fed,2022-05-16,323,23.51
high_uncertainty_fed,2022-05-16,324,18.94
high_uncertainty_fed,2022-05-16,325,23.82
high_uncertainty_fed,2022-05-16,326,25.5
high_uncertainty_fed,2022-05-16,327,24.3
low_uncerainty_fed,2021-08-30,234,27.15
low_uncerainty_fed,2021-08-30,235,29.1
low_uncerainty_fed,2021-08-30,236,27.3
low_uncerainty_fed,2021-08-30,243,23.5
low_uncerainty_fed,2021-08-30,244,27.01
low_uncerainty_fed,2021-08-30,245,20.37
low_uncerainty_fed,2021-08-30,263,26.2
low_uncerainty_fed,2021-08-30,264,26.34
low_uncerainty_fed,2021-08-30,265,24.48
low_uncerainty_fed,2021-09-01,234,27.8
low_uncerainty_fed,2021-09-01,235,29.61
low_uncerainty_fed,2021-09-01,236,27.22
low_uncerainty_fed,2021-09-01,243,24.13
low_uncerainty_fed,2021-09-01,244,25.77
low_uncerainty_fed,2021-09-01,245,21.12
low_uncerainty_fed,2021-09-01,263,24.58
low_uncerainty_fed,2021-09-01,264,26.12
low_uncerainty_fed,2021-09-01,265,24.38
low_uncerainty_fed,2021-09-03,234,27.75
low_uncerainty_fed,2021-09-03,235,29.11
low_uncerainty_fed,2021-09-03,236,27.7
low_uncerainty_fed,2021-09-03,243,23.76
low_uncerainty_fed,2021-09-03,244,26.66
low_uncerainty_fed,2021-09-03,245,21.17
low_uncerainty_fed,2021-09-03,263,25.03
low_uncerainty_fed,2021-09-03,264,26.08
low_uncerainty_fed,2021-09-03,265,24.5
low_uncerainty_fed,2021-09-06,234,28.86
low_uncerainty_fed,2021-09-06,235,30.01
low_uncerainty_fed,2021-09-06,236,27.48
low_uncerainty_fed,2021-09-06,243,23.4
low_uncerainty_fed,2021-09-06,244,28.01
low_uncerainty_fed,2021-09-06,245,21.16
low_uncerainty_fed,2021-09-06,263,25.71
low_uncerainty_fed,2021-09-06,264,25.22
low_uncerainty_fed,2021-09-06,265,25.28
low_uncerainty_fed,2021-09-08,234,28.5
low_uncerainty_fed,2021-09-08,235,29.6
low_uncerainty_fed,2021-09-08,236,27.26
low_uncerainty_fed,2021-09-08,243,23.04
low_uncerainty_fed,2021-09-08,244,29.36
low_uncerainty_fed,2021-09-08,245,21.15
low_uncerainty_fed,2021-09-08,263,26.39
low_uncerainty_fed,2021-09-08,264,24.36
low_uncerainty_fed,2021-09-08,265,26.06
low_uncerainty_fed,2021-09-10,234,28.4
low_uncerainty_fed,2021-09-10,235,29.8
low_uncerainty_fed,2021-09-10,236,27.04
low_uncerainty_fed,2021-09-10,243,22.68
low_uncerainty_fed,2021-09-10,244,30.71
low_uncerainty_fed,2021-09-10,245,21.14
low_uncerainty_fed,2021-09-10,263,27.07
low_uncerainty_fed,2021-09-10,264,23.5
low_uncerainty_fed,2021-09-10,265,26.84
low_uncerainty_fed,2021-09-13,234,28.6
low_uncerainty_fed,2021-09-13,235,30
low_uncerainty_fed,2021-09-13,236,26.82
low_uncerainty_fed,2021-09-13,243,22.32
low_uncerainty_fed,2021-09-13,244,32.06
low_uncerainty_fed,2021-09-13,245,21.13
low_uncerainty_fed,2021-09-13,263,27.75
low_uncerainty_fed,2021-09-13,264,22.64
low_uncerainty_fed,2021-09-13,265,27.62
low_uncerainty_fed,2021-09-15,234,28.68
low_uncerainty_fed,2021-09-15,235,28.18
low_uncerainty_fed,2021-09-15,236,29.32
low_uncerainty_fed,2021-09-15,243,22.4
low_uncerainty_fed,2021-09-15,244,27.1
low_uncerainty_fed,2021-09-15,245,20.98
low_uncerainty_fed,2021-09-15,263,26.05
low_uncerainty_fed,2021-09-15,264,26.94
low_uncerainty_fed,2021-09-15,265,25.5
low_uncerainty_fed,2021-09-17,234,30.22
low_uncerainty_fed,2021-09-17,235,31.03
low_uncerainty_fed,2021-09-17,236,29.8
low_uncerainty_fed,2021-09-17,243,23.91
low_uncerainty_fed,2021-09-17,244,27.3
low_uncerainty_fed,2021-09-17,245,21.3
low_uncerainty_fed,2021-09-17,263,26.07
low_uncerainty_fed,2021-09-17,264,26.86
low_uncerainty_fed,2021-09-17,265,25.5
low_uncerainty_fed,2021-09-20,234,31.1
low_uncerainty_fed,2021-09-20,235,28.46
low_uncerainty_fed,2021-09-20,236,29.76
low_uncerainty_fed,2021-09-20,243,24.5
low_uncerainty_fed,2021-09-20,244,29.64
low_uncerainty_fed,2021-09-20,245,20.5
low_uncerainty_fed,2021-09-20,263,25.05
low_uncerainty_fed,2021-09-20,264,26.81
low_uncerainty_fed,2021-09-20,265,25.32
low_uncerainty_fed,2021-09-22,234,32.23
low_uncerainty_fed,2021-09-22,235,31.7
low_uncerainty_fed,2021-09-22,236,30.18
low_uncerainty_fed,2021-09-22,243,24.71
low_uncerainty_fed,2021-09-22,244,29.6
low_uncerainty_fed,2021-09-22,245,21.71
low_uncerainty_fed,2021-09-22,263,25.43
low_uncerainty_fed,2021-09-22,264,26.3
low_uncerainty_fed,2021-09-22,265,25
low_uncerainty_fed,2021-09-24,234,32.2
low_uncerainty_fed,2021-09-24,235,31.46
low_uncerainty_fed,2021-09-24,236,30.43
low_uncerainty_fed,2021-09-24,243,24.8
low_uncerainty_fed,2021-09-24,244,30.04
low_uncerainty_fed,2021-09-24,245,21.51
low_uncerainty_fed,2021-09-24,263,26.14
low_uncerainty_fed,2021-09-24,264,26.89
low_uncerainty_fed,2021-09-24,265,24.8
low_uncerainty_fed,2021-09-27,234,32.32
low_uncerainty_fed,2021-09-27,235,31.11
low_uncerainty_fed,2021-09-27,236,30.57
low_uncerainty_fed,2021-09-27,243,24.37
low_uncerainty_fed,2021-09-27,244,29.28
low_uncerainty_fed,2021-09-27,245,20.68
low_uncerainty_fed,2021-09-27,263,25.41
low_uncerainty_fed,2021-09-27,264,26.06
low_uncerainty_fed,2021-09-27,265,24.66
low_uncerainty_fed,2021-09-29,234,32.99
low_uncerainty_fed,2021-09-29,235,33.9
low_uncerainty_fed,2021-09-29,236,31.14
low_uncerainty_fed,2021-09-29,243,24.65
low_uncerainty_fed,2021-09-29,244,29.63
low_uncerainty_fed,2021-09-29,245,21.61
low_uncerainty_fed,2021-09-29,263,25.64
low_uncerainty_fed,2021-09-29,264,26.91
low_uncerainty_fed,2021-09-29,265,25.94
low_uncerainty_fed,2021-10-01,234,32.81
low_uncerainty_fed,2021-10-01,235,32.05
low_uncerainty_fed,2021-10-01,236,31.93
low_uncerainty_fed,2021-10-01,243,25.37
low_uncerainty_fed,2021-10-01,244,30.06
low_uncerainty_fed,2021-10-01,245,20.32
low_uncerainty_fed,2021-10-01,263,26.63
low_uncerainty_fed,2021-10-01,264,27.44
low_uncerainty_fed,2021-10-01,265,26.27
low_uncerainty_fed,2021-10-04,234,32.9
low_uncerainty_fed,2021-10-04,235,33.3
low_uncerainty_fed,2021-10-04,236,31.32
low_uncerainty_fed,2021-10-04,243,24.57
low_uncerainty_fed,2021-10-04,244,30.25
low_uncerainty_fed,2021-10-04,245,21.77
low_uncerainty_fed,2021-10-04,263,27.64
low_uncerainty_fed,2021-10-04,264,27.1
low_uncerainty_fed,2021-10-04,265,25.15
low_uncerainty_fed,2021-10-06,234,32.41
low_uncerainty_fed,2021-10-06,235,34.74
low_uncerainty_fed,2021-10-06,236,32.31
low_uncerainty_fed,2021-10-06,243,24.84
low_uncerainty_fed,2021-10-06,244,29.77
low_uncerainty_fed,2021-10-06,245,22.03
low_uncerainty_fed,2021-10-06,263,27
low_uncerainty_fed,2021-10-06,264,27.55
low_uncerainty_fed,2021-10-06,265,25.17
low_uncerainty_fed,2021-10-08,234,32.2
low_uncerainty_fed,2021-10-08,235,34.85
low_uncerainty_fed,2021-10-08,236,32.14
low_uncerainty_fed,2021-10-08,243,25.06
low_uncerainty_fed,2021-10-08,244,29.91
low_uncerainty_fed,2021-10-08,245,22
low_uncerainty_fed,2021-10-08,263,27.42
low_uncerainty_fed,2021-10-08,264,27.74
low_uncerainty_fed,2021-10-08,265,25.6
low_uncerainty_fed,2021-10-11,234,31.82
low_uncerainty_fed,2021-10-11,235,35.07
low_uncerainty_fed,2021-10-11,236,31.71
low_uncerainty_fed,2021-10-11,243,24.74
low_uncerainty_fed,2021-10-11,244,29.42
low_uncerainty_fed,2021-10-11,245,20.72
low_uncerainty_fed,2021-10-11,263,27.25
low_uncerainty_fed,2021-10-11,264,28.27
low_uncerainty_fed,2021-10-11,265,26.23
low_uncerainty_fed,2021-10-13,234,32.1
low_uncerainty_fed,2021-10-13,235,35.05
low_uncerainty_fed,2021-10-13,236,31.95
low_uncerainty_fed,2021-10-13,243,25
low_uncerainty_fed,2021-10-13,244,29.24
low_uncerainty_fed,2021-10-13,245,22.19
low_uncerainty_fed,2021-10-13,263,25.96
low_uncerainty_fed,2021-10-13,264,28.22
low_uncerainty_fed,2021-10-13,265,26.42
low_uncerainty_fed,2021-10-15,234,31.8
low_uncerainty_fed,2021-10-15,235,34.32
low_uncerainty_fed,2021-10-15,236,31.8
low_uncerainty_fed,2021-10-15,243,24.71
low_uncerainty_fed,2021-10-15,244,29.32
low_uncerainty_fed,2021-10-15,245,21.8
low_uncerainty_fed,2021-10-15,263,26.7
low_uncerainty_fed,2021-10-15,264,28
low_uncerainty_fed,2021-10-15,265,26.11
