ID,date,weight,group,experimental_phase,rel_date
414,2022-10-28,27.3,No-Uncertainty,Experimental,37
415,2022-10-28,27.3,No-Uncertainty,Experimental,37
416,2022-10-28,26.4,Uncertainty,Experimental,37
417,2022-10-28,25.75,Uncertainty,Experimental,37
418,2022-10-28,24.6,Uncertainty,Experimental,37
419,2022-10-28,25.36,Uncertainty,Experimental,37
420,2022-10-28,25.53,No-Uncertainty,Experimental,37
421,2022-10-28,28.48,No-Uncertainty,Experimental,37
422,2022-10-28,26.8,No-Uncertainty,Experimental,37
413,2022-10-30,26.5,Uncertainty,Experimental,39
414,2022-10-30,28.8,No-Uncertainty,Experimental,39
415,2022-10-30,27.7,No-Uncertainty,Experimental,39
416,2022-10-30,26.63,Uncertainty,Experimental,39
417,2022-10-30,26.8,Uncertainty,Experimental,39
418,2022-10-30,23.9,Uncertainty,Experimental,39
419,2022-10-30,25.03,Uncertainty,Experimental,39
420,2022-10-30,26.97,No-Uncertainty,Experimental,39
421,2022-10-30,30.3,No-Uncertainty,Experimental,39
422,2022-10-30,27.3,No-Uncertainty,Experimental,39
413,2022-11-02,25.66,Uncertainty,Experimental,42
414,2022-11-02,28.26,No-Uncertainty,Experimental,42
415,2022-11-02,28.07,No-Uncertainty,Experimental,42
416,2022-11-02,26.24,Uncertainty,Experimental,42
417,2022-11-02,25.77,Uncertainty,Experimental,42
418,2022-11-02,24.83,Uncertainty,Experimental,42
419,2022-11-02,24.6,Uncertainty,Experimental,42
420,2022-11-02,25.66,No-Uncertainty,Experimental,42
421,2022-11-02,29.9,No-Uncertainty,Experimental,42
422,2022-11-02,28,No-Uncertainty,Experimental,42
413,2022-11-04,25.8,Uncertainty,Experimental,44
414,2022-11-04,28.64,No-Uncertainty,Experimental,44
415,2022-11-04,27.51,No-Uncertainty,Experimental,44
416,2022-11-04,26.3,Uncertainty,Experimental,44
417,2022-11-04,24.76,Uncertainty,Experimental,44
418,2022-11-04,23.5,Uncertainty,Experimental,44
419,2022-11-04,23.74,Uncertainty,Experimental,44
420,2022-11-04,25.8,No-Uncertainty,Experimental,44
421,2022-11-04,30.3,No-Uncertainty,Experimental,44
422,2022-11-04,27.5,No-Uncertainty,Experimental,44
413,2022-11-09,26.77,Uncertainty,Experimental,49
414,2022-11-09,28.66,No-Uncertainty,Experimental,49
415,2022-11-09,27.27,No-Uncertainty,Experimental,49
416,2022-11-09,26.32,Uncertainty,Experimental,49
417,2022-11-09,26.8,Uncertainty,Experimental,49
418,2022-11-09,24.9,Uncertainty,Experimental,49
419,2022-11-09,25.5,Uncertainty,Experimental,49
420,2022-11-09,27,No-Uncertainty,Experimental,49
421,2022-11-09,31,No-Uncertainty,Experimental,49
422,2022-11-09,28,No-Uncertainty,Experimental,49
413,2022-11-11,25.6,Uncertainty,Experimental,51
414,2022-11-11,27.1,No-Uncertainty,Experimental,51
415,2022-11-11,28.88,No-Uncertainty,Experimental,51
416,2022-11-11,26.3,Uncertainty,Experimental,51
417,2022-11-11,26.1,Uncertainty,Experimental,51
418,2022-11-11,24.6,Uncertainty,Experimental,51
419,2022-11-11,24.6,Uncertainty,Experimental,51
420,2022-11-11,27.82,No-Uncertainty,Experimental,51
421,2022-11-11,32,No-Uncertainty,Experimental,51
422,2022-11-11,28.8,No-Uncertainty,Experimental,51
413,2022-11-14,25.7,Uncertainty,Experimental,54
414,2022-11-14,27,No-Uncertainty,Experimental,54
415,2022-11-14,29,No-Uncertainty,Experimental,54
416,2022-11-14,26.5,Uncertainty,Experimental,54
417,2022-11-14,26.3,Uncertainty,Experimental,54
418,2022-11-14,24.7,Uncertainty,Experimental,54
419,2022-11-14,24.9,Uncertainty,Experimental,54
420,2022-11-14,28,No-Uncertainty,Experimental,54
421,2022-11-14,31.8,No-Uncertainty,Experimental,54
422,2022-11-14,29,No-Uncertainty,Experimental,54
413,2022-11-16,25.5,Uncertainty,Experimental,56
414,2022-11-16,27.5,No-Uncertainty,Experimental,56
415,2022-11-16,28.8,No-Uncertainty,Experimental,56
416,2022-11-16,26.5,Uncertainty,Experimental,56
417,2022-11-16,26.7,Uncertainty,Experimental,56
418,2022-11-16,24.3,Uncertainty,Experimental,56
419,2022-11-16,24.8,Uncertainty,Experimental,56
420,2022-11-16,28,No-Uncertainty,Experimental,56
421,2022-11-16,31.5,No-Uncertainty,Experimental,56
422,2022-11-16,28.9,No-Uncertainty,Experimental,56
413,2022-11-18,26,Uncertainty,Experimental,58
414,2022-11-18,28,No-Uncertainty,Experimental,58
415,2022-11-18,29,No-Uncertainty,Experimental,58
416,2022-11-18,26.5,Uncertainty,Experimental,58
417,2022-11-18,26.3,Uncertainty,Experimental,58
418,2022-11-18,24.7,Uncertainty,Experimental,58
419,2022-11-18,24.8,Uncertainty,Experimental,58
420,2022-11-18,27.9,No-Uncertainty,Experimental,58
421,2022-11-18,31.2,No-Uncertainty,Experimental,58
422,2022-11-18,28.92,No-Uncertainty,Experimental,58
413,2022-11-21,25,Uncertainty,Experimental,61
414,2022-11-21,29,No-Uncertainty,Experimental,61
415,2022-11-21,29.1,No-Uncertainty,Experimental,61
416,2022-11-21,28,Uncertainty,Experimental,61
417,2022-11-21,26.1,Uncertainty,Experimental,61
418,2022-11-21,25.1,Uncertainty,Experimental,61
419,2022-11-21,26.03,Uncertainty,Experimental,61
420,2022-11-21,26.1,No-Uncertainty,Experimental,61
421,2022-11-21,30,No-Uncertainty,Experimental,61
422,2022-11-21,29.23,No-Uncertainty,Experimental,61
413,2022-11-23,26.6,Uncertainty,Experimental,63
414,2022-11-23,27.23,No-Uncertainty,Experimental,63
415,2022-11-23,30.21,No-Uncertainty,Experimental,63
416,2022-11-23,27.31,Uncertainty,Experimental,63
417,2022-11-23,25.98,Uncertainty,Experimental,63
418,2022-11-23,24.52,Uncertainty,Experimental,63
419,2022-11-23,26.2,Uncertainty,Experimental,63
420,2022-11-23,26.59,No-Uncertainty,Experimental,63
421,2022-11-23,32.06,No-Uncertainty,Experimental,63
422,2022-11-23,28.36,No-Uncertainty,Experimental,63
413,2022-11-25,25.43,Uncertainty,Experimental,65
414,2022-11-25,29.4,No-Uncertainty,Experimental,65
415,2022-11-25,30,No-Uncertainty,Experimental,65
416,2022-11-25,27.2,Uncertainty,Experimental,65
417,2022-11-25,24.93,Uncertainty,Experimental,65
418,2022-11-25,25.03,Uncertainty,Experimental,65
419,2022-11-25,25.5,Uncertainty,Experimental,65
420,2022-11-25,25.09,No-Uncertainty,Experimental,65
421,2022-11-25,32.72,No-Uncertainty,Experimental,65
422,2022-11-25,28.7,No-Uncertainty,Experimental,65
